initial_skip,threshold,max_skip,success_count,total_videos,accuracy,detection_attempts,total_frames,inference_ratio,saved_cost,runtime
1,3,64,47,50,94.0,128060,2480684,0.0516,0.9484,2330.71
1,3,128,41,50,82.0,112607,2480684,0.0454,0.9546,2103.92
1,3,256,35,50,70.0,110848,2480684,0.0447,0.9553,2083.71
1,5,64,47,50,94.0,132179,2480684,0.0533,0.9467,2438.19
1,5,128,42,50,84.0,116572,2480684,0.0470,0.9530,2190.05
1,5,256,33,50,66.0,113077,2480684,0.0456,0.9544,2138.84
1,7,64,49,50,98.0,137256,2480684,0.0553,0.9447,2542.76
1,7,128,46,50,92.0,122514,2480684,0.0494,0.9506,2303.34
1,7,256,38,50,76.0,119627,2480684,0.0482,0.9518,2259.85
1,10,64,49,50,98.0,142772,2480684,0.0576,0.9424,2664.35
1,10,128,43,50,86.0,126728,2480684,0.0511,0.9489,2380.67
1,10,256,34,50,68.0,123050,2480684,0.0496,0.9504,2330.86
1,15,64,49,50,98.0,151356,2480684,0.0610,0.9390,2806.29
1,15,128,46,50,92.0,136700,2480684,0.0551,0.9449,2549.75
1,15,256,36,50,72.0,133593,2480684,0.0539,0.9461,2489.58
2,3,64,49,50,98.0,84376,2480684,0.0340,0.9660,1539.62
2,3,128,47,50,94.0,68523,2480684,0.0276,0.9724,1278.81
2,3,256,31,50,62.0,60830,2480684,0.0245,0.9755,1156.34
2,5,64,49,50,98.0,87118,2480684,0.0351,0.9649,1595.17
2,5,128,42,50,84.0,70566,2480684,0.0284,0.9716,1311.79
2,5,256,36,50,72.0,65752,2480684,0.0265,0.9735,1236.20
2,7,64,48,50,96.0,90759,2480684,0.0366,0.9634,1651.32
2,7,128,43,50,86.0,73818,2480684,0.0298,0.9702,1372.96
2,7,256,33,50,66.0,67964,2480684,0.0274,0.9726,1274.20
2,10,64,48,50,96.0,93560,2480684,0.0377,0.9623,1694.10
2,10,128,43,50,86.0,77394,2480684,0.0312,0.9688,1421.40
2,10,256,35,50,70.0,71861,2480684,0.0290,0.9710,1340.51
2,15,64,50,50,100.0,100836,2480684,0.0406,0.9594,1815.35
2,15,128,49,50,98.0,86158,2480684,0.0347,0.9653,1575.99
2,15,256,41,50,82.0,80721,2480684,0.0325,0.9675,1496.47
4,3,64,46,50,92.0,61851,2480684,0.0249,0.9751,1101.36
4,3,128,42,50,84.0,44501,2480684,0.0179,0.9821,812.63
4,3,256,27,50,54.0,35989,2480684,0.0145,0.9855,670.90
4,5,64,48,50,96.0,63551,2480684,0.0256,0.9744,1121.56
4,5,128,40,50,80.0,46242,2480684,0.0186,0.9814,839.99
4,5,256,30,50,60.0,39533,2480684,0.0159,0.9841,735.50
4,7,64,50,50,100.0,65978,2480684,0.0266,0.9734,1170.12
4,7,128,42,50,84.0,48675,2480684,0.0196,0.9804,883.41
4,7,256,34,50,68.0,41681,2480684,0.0168,0.9832,768.55
4,10,64,50,50,100.0,68830,2480684,0.0277,0.9723,1226.98
4,10,128,47,50,94.0,52452,2480684,0.0211,0.9789,951.61
4,10,256,35,50,70.0,45311,2480684,0.0183,0.9817,831.65
4,15,64,49,50,98.0,72777,2480684,0.0293,0.9707,1287.05
4,15,128,44,50,88.0,57274,2480684,0.0231,0.9769,1031.39
4,15,256,36,50,72.0,50021,2480684,0.0202,0.9798,911.49
8,3,64,50,50,100.0,50098,2480684,0.0202,0.9798,867.52
8,3,128,45,50,90.0,32428,2480684,0.0131,0.9869,579.72
8,3,256,36,50,72.0,24004,2480684,0.0097,0.9903,441.73
8,5,64,50,50,100.0,51478,2480684,0.0208,0.9792,901.24
8,5,128,46,50,92.0,34221,2480684,0.0138,0.9862,610.67
8,5,256,37,50,74.0,26305,2480684,0.0106,0.9894,478.76
8,7,64,49,50,98.0,52656,2480684,0.0212,0.9788,917.82
8,7,128,46,50,92.0,35904,2480684,0.0145,0.9855,637.39
8,7,256,32,50,64.0,27483,2480684,0.0111,0.9889,502.39
8,10,64,49,50,98.0,54471,2480684,0.0220,0.9780,943.52
8,10,128,43,50,86.0,37801,2480684,0.0152,0.9848,668.33
8,10,256,32,50,64.0,30069,2480684,0.0121,0.9879,541.20
8,15,64,49,50,98.0,56924,2480684,0.0229,0.9771,987.98
8,15,128,44,50,88.0,40963,2480684,0.0165,0.9835,728.12
8,15,256,32,50,64.0,33350,2480684,0.0134,0.9866,599.01
