frame_skip,success_count,total_videos,accuracy,runtime,use_prefetch,sync_videos,sync_total_batches,sync_total_prepare_ms,sync_total_infer_ms,sync_avg_prepare_ms,sync_avg_infer_ms,sync_wait_ratio,sync_ideal_serial_ms,sync_ideal_overlap_ms,sync_ideal_saved_ms,sync_steady_batches,sync_steady_total_prepare_ms,sync_steady_total_infer_ms,sync_steady_avg_prepare_ms,sync_steady_avg_infer_ms,sync_steady_wait_ratio,runtime_without_profiler
1,50,50,100.0,8181.51,False,50,38776.0,460273.58170133084,7710451.650061179,11.870063485179772,198.8459781839586,0.05633203524114163,8170725.23176251,7711060.405643191,459664.8261193186,38626.0,458453.4528735094,7680140.791641548,11.8690377692101,198.83344875580045,0.05633079117840043,8228.42
2,50,50,100.0,4312.34,False,50,19399.0,432334.7386876121,3869805.41538354,22.286444594443637,199.48478866867055,0.10049294611624635,4302140.154071152,3870938.349507749,431201.80456340313,19249.0,428940.41531765833,3838727.817845531,22.283776576323877,199.42479182531721,0.10050931606736643,4298.87
3,50,50,100.0,3023.28,False,50,12940.0,426233.4625744261,2587036.1525923945,32.93921658225859,199.9255141106951,0.14145214899756947,3013269.6151668206,2588709.4787196256,424560.13644719496,12790.0,421243.12540795654,2554557.9528380185,32.9353499146174,199.73087981532592,0.1415562110274688,3016.64
4,50,50,100.0,2380.94,False,50,9709.0,424383.72868765146,1946701.9312493503,43.71034387554346,200.50488528678034,0.17898287516905942,2371085.6599370018,1948906.38445504,422179.27548196167,9559.0,417761.3796037622,1912428.6341671832,43.70346057158303,200.0657635910852,0.17928210881296283,2392.2
5,50,50,100.0,1993.11,False,50,7775.0,423289.1156356782,1560063.456589356,54.442329985296226,200.65124843593003,0.21342101326987412,1983352.5722250342,1562810.9210073017,420541.6512177326,7625.0,415049.4154621847,1524990.0468848646,54.43271022454881,199.99869467342486,0.2139386458459252,2011.13
6,50,50,100.0,1732.37,False,50,6481.0,422986.51494504884,1299661.6027341224,65.26562489508545,200.53411552756094,0.24554435151556953,1722648.1176791713,1302947.2063155845,419700.9113635868,6331.0,413114.59343880415,1264097.2219053656,65.25266047051085,199.6678600387562,0.2463103286414849,1724.15
7,50,50,100.0,1545.34,False,50,5558.0,420884.3440548517,1114762.4283358455,75.72586255035115,200.56898674628383,0.27407627302183435,1535646.7723906972,1118562.1301317587,417084.6422589384,5408.0,409484.04846386984,1079357.9301666468,75.71820422778659,199.58541608111074,0.27503526522037336,1539.22
8,50,50,100.0,1402.21,False,50,4868.0,416234.2271627858,976343.4016369283,85.50415512793464,200.56355826559744,0.2988948109999044,1392577.6287997141,980659.5070110634,411918.12178865075,4718.0,403285.67340644076,941522.9008398019,85.47809949267503,199.55975007202244,0.2998833299620206,1408.06
9,50,50,100.0,1295.56,False,50,4331.0,414921.7145945877,870987.2708087787,95.8027510031373,201.10534999048227,0.3226680265123382,1285908.9854033664,875808.6494323798,410100.33597098663,4181.0,400443.383842241,836107.8016385436,95.77693945042837,199.9779482512661,0.3238389065848042,1301.55
10,50,50,100.0,1203.03,False,50,3900.0,412489.9340127595,781034.4806341454,105.7666497468614,200.26525144465268,0.3456066159608399,1193524.414646905,786372.6865886711,407151.72805823386,3750.0,396482.0078043267,747026.3557690196,105.72853541448713,199.20702820507188,0.3467241871020172,1216.06
11,50,50,100.0,1147.53,False,50,3544.0,415620.09680690244,722329.9087178893,117.27429368140588,203.8176943334902,0.36523581421771634,1137950.0055247918,728232.2018858977,409717.8036388941,3394.0,397897.16947451234,688024.4729625992,117.23546537257288,202.7178765358277,0.3664142548826263,1145.16
12,50,50,100.0,1095.66,False,50,3251.0,418020.3744969331,668022.7864552289,128.58208997137282,205.4822474485478,0.38490217472613475,1086043.160952162,674488.9860372059,411554.1749149561,3101.0,398541.2030406296,633663.9011222869,128.52022026463388,204.34179333192097,0.386106599776827,1086.56
13,50,50,100.0,1042.14,False,50,3001.0,416298.2422038913,616297.6583489217,138.7198407877012,205.3640980836127,0.40315697745944995,1032595.900552813,623272.268474102,409323.63207871094,2851.0,395297.3806275986,582484.5885620452,138.65218541830887,204.30887006736066,0.4042796789914307,1036.31
14,50,50,100.0,989.58,False,50,2791.0,412709.6889815293,567392.8464376368,147.87161912630933,203.29374648428404,0.42108827808003063,980102.5354191661,574830.9695995413,405271.5658196248,2641.0,390288.86303212494,534075.4481502809,147.78071299966865,202.22470585016313,0.4222240715166559,992.18
15,49,50,98.0,951.92,False,50,2610.0,412714.05950188637,529622.5220225751,158.12799214631661,202.92050652205944,0.4379688400021776,942336.5815244615,537587.4696481042,404749.11187635735,2460.0,388720.4143255949,496495.72103098035,158.0164285876402,201.82752887438227,0.4391248631827225,954.41
16,49,50,98.0,919.74,False,50,2450.0,413008.69143754244,497216.59106062725,168.5749760969561,202.9455473716846,0.45374337472149096,910225.2824981697,505726.29522904754,404498.98726912215,2300.0,387345.3008993529,464174.64398033917,168.41100039102298,201.81506260014746,0.45488693861901136,920.65
17,50,50,100.0,892.29,False,50,2301.0,413982.1831570007,468758.38268129155,179.9140300551937,203.71941880977468,0.4689737836663971,882740.5658382922,477811.8201363832,404928.74570190907,2151.0,386694.008288905,435830.6982158683,179.77406243091818,202.61771186232838,0.4701305690039603,894.26
18,49,50,98.0,871.50,False,50,2177.0,417973.9587409422,443969.098941423,191.9953875704833,203.93619611457189,0.48492061629315814,861943.0576823652,456578.78278475255,405364.27489761263,2027.0,389031.4682829194,411240.32348254696,191.92475001624044,202.88126466825207,0.486124179667364,869.31
