frame_skip,success_count,total_videos,accuracy,runtime,runtime_without_profiler,use_prefetch,sync_videos,sync_total_batches,sync_total_prepare_ms,sync_total_infer_ms,sync_avg_prepare_ms,sync_avg_infer_ms,sync_wait_ratio,sync_ideal_serial_ms,sync_ideal_overlap_ms,sync_ideal_saved_ms,sync_steady_batches,sync_steady_total_prepare_ms,sync_steady_total_infer_ms,sync_steady_avg_prepare_ms,sync_steady_avg_infer_ms,sync_steady_wait_ratio
1,50,50,100.0,8201.81,8172.51,False,50,38776.0,460334.59986699745,7730675.332996994,11.871637091680356,199.36752973481003,0.05619998066661373,8191009.932863992,7731274.006538559,459735.92632543296,38626.0,458536.68798925355,7699244.728571735,11.871192667872768,199.32803625981813,0.05620850382904169
2,50,50,100.0,4209.84,4156.65,False,50,19399.0,276945.200977847,3925383.166941814,14.2762617133794,202.34976890261427,0.06590279881316059,4202328.367919661,3926098.577817902,276229.79010175914,19249.0,274733.8318810798,3893991.0218208097,14.27262880570834,202.2957567572762,0.06590356560402687
3,50,50,100.0,2838.97,2826.87,False,50,12940.0,224283.99985283613,2608481.7764153704,17.332612044268636,201.58282661633464,0.0791749186366903,2832765.7762682065,2609363.2611632347,223402.51510497183,12790.0,221624.97431552038,2575706.450329628,17.3279886095012,201.38439799293417,0.079227285105709
4,50,50,100.0,2165.61,2152.5,False,50,9709.0,201119.375330396,1958971.3841588236,20.714736361149036,201.7686048160288,0.09310690971982728,2160090.7594892196,1960023.6418643035,200067.11762491614,9559.0,197966.8523739092,1924565.2112043463,20.70999606380471,201.33541282606404,0.09326919285269505
5,50,50,100.0,1769.33,1753.82,False,50,7775.0,192613.89156011865,1571619.674274698,24.773490875899505,202.1375786848486,0.10917709269916066,1764233.5658348165,1572896.7507304624,191336.81510435417,7625.0,188841.45397972316,1536514.0117448755,24.766092325209595,201.5100343271968,0.10945075245721332
6,50,50,100.0,1503.57,1493.46,False,50,6481.0,187484.1352654621,1311228.1250543892,28.928272684070684,202.31879726190238,0.12509681826813748,1498712.2603198513,1312717.1728853136,185995.0874345377,6331.0,183077.26626610383,1275496.836764738,28.91759062803725,201.4684626069717,0.12551797394844635
7,50,50,100.0,1318.57,1309.25,False,50,5558.0,184312.1698377654,1129592.417798005,33.161599467032275,203.2372108308753,0.14027819947673303,1313904.5876357704,1131310.7579657808,182593.82966998965,5408.0,179233.4182136692,1093868.196918629,33.14227407797138,202.26852753672875,0.14078484865879576
8,50,50,100.0,1174.63,1171.19,False,50,4868.0,182783.9758885093,987248.5623117536,37.54806406912681,202.80373095968645,0.15622127583705184,1170032.538200263,989187.4512280338,180845.08697222918,4718.0,177008.89434665442,952102.6174817234,37.51778176063044,201.80216563834747,0.15676830188368426
9,50,50,100.0,1070.25,1065.45,False,50,4331.0,182699.79365635663,882974.7068448924,42.18420541592164,203.87317174899385,0.1714405229461924,1065674.500501249,885136.119176168,180538.381325081,4181.0,176190.25424076244,847795.6468048505,42.14069702003407,202.77341468664207,0.17206316421041618
10,50,50,100.0,982.10,979.28,False,50,3900.0,181642.32927840203,795921.7694667168,46.57495622523129,204.08250499146584,0.18581117034839226,977564.0987451188,798295.185548719,179268.9131963998,3750.0,174451.34399086237,761201.4246364124,46.5203583975633,202.98704656970997,0.18644880861818552
11,50,50,100.0,910.67,908.65,False,50,3544.0,181072.3093911074,725055.71071757,51.092638090041596,204.58682582324212,0.19983082453337012,906128.0201086774,727648.5724681988,178479.4476404786,3394.0,173186.1608917825,690785.3480586782,51.02715406357763,203.53133413632239,0.2004535555832925
12,50,50,100.0,849.31,847.92,False,50,3251.0,179913.8381681405,664838.53183873,55.3410760283422,204.50277817247922,0.2129781987669085,844752.3700068705,667647.3637111485,177105.00629572198,3101.0,171362.12354060262,630756.1627631076,55.26027847165515,203.40411569271447,0.21363697408055185
13,50,50,100.0,799.33,797.85,False,50,3001.0,180118.5833066702,614652.632901445,60.019521261802794,204.81593898748585,0.22662947478901263,794771.2162081152,617694.7563569993,177076.45985111594,2851.0,170830.94843663275,580867.8172319196,59.91965922014477,203.74178086002092,0.22725984960836992
14,50,50,100.0,754.92,753.01,False,50,2791.0,179397.82625623047,570326.393160969,64.27725770556448,204.34482019382622,0.23928508858322023,749724.2194171995,573598.8266216591,176125.3927955404,2641.0,169408.4545490332,536793.5301205143,64.14557158236774,203.25389251060747,0.23988668713286623
15,49,50,98.0,718.59,716.52,False,50,2610.0,180579.64689144865,532724.1461160593,69.18760417296883,204.10886824370087,0.253159521457287,713303.7930075079,536252.426658757,177051.3663487509,2460.0,169818.44772491604,499517.9345677607,69.03188931907157,203.05607096250435,0.25371166459417155
16,49,50,98.0,682.23,682.61,False,50,2450.0,179855.79620907083,496949.5459483005,73.41052906492688,202.83654936665326,0.2657422821689997,676805.3421573713,500700.6320329383,176104.71012443304,2300.0,168425.70316279307,463771.6901144013,73.22856659251873,201.639865267131,0.2664131566403732
17,50,50,100.0,649.82,649.77,False,50,2301.0,179647.14006939903,464714.71023978665,78.07350720095569,201.9620644240707,0.2787985352999999,644361.8503091857,468705.4341584444,175656.41615074128,2151.0,167507.504561916,431988.22386050597,77.87424665825941,200.83134535588377,0.2794140085079724
18,49,50,98.0,624.21,622.49,False,50,2177.0,179211.88105130568,439432.5344469398,82.3205700740954,201.85233552914093,0.28968479559776067,618644.4154982455,443688.51794395596,174955.89755428955,2027.0,166372.00114270672,406920.71118950844,82.07794826971225,200.75022752319114,0.2902042840661406
19,49,50,98.0,600.12,599.69,False,50,2061.0,178881.6653052345,415724.9859892763,86.79362702825546,201.71032799091523,0.3008403369114575,594606.6512945108,420259.5946090296,174347.05668548122,1911.0,165337.80410140753,383068.3192112483,86.51899743663398,200.45437949306557,0.3014878883967991
20,50,50,100.0,579.99,580.21,False,50,1961.0,178956.81034773588,395513.76776210964,91.2579349045058,201.68983567675147,0.31151605872758364,574470.5781098455,400316.8573472649,174153.72076258063,1811.0,164710.73701092973,363027.27438742295,90.95015848201531,200.4568052939939,0.3121070179775259
21,50,50,100.0,561.18,561.29,False,50,1870.0,179040.68842111155,376600.18932493404,95.74368364765324,201.39047557483104,0.3222237520525647,555640.8777460456,381783.705574926,173857.1721711196,1720.0,164087.95341849327,344369.00653503835,95.39997291772865,200.21453868316183,0.32271748907417674
22,50,50,100.0,543.87,545.25,False,50,1790.0,178735.12346018106,359597.6798408665,99.85202427943076,200.89255857031648,0.33201603611033914,538332.8033010475,365142.1565441415,173190.64675690606,1640.0,163097.35192451626,327517.0634267852,99.4496048320221,199.70552647974705,0.33243489555383543
23,49,50,98.0,528.38,530.78,False,50,1708.0,178194.81552718207,344609.3958779238,104.32951728757733,201.76194138051747,0.3408442618475843,522804.2114051059,350456.96079265326,172347.25061245263,1558.0,161886.8257831782,312495.7016785629,103.9068201432466,200.57490480010458,0.34125798572173177
24,50,50,100.0,514.46,516.71,False,50,1638.0,177573.96919559687,331299.8577738181,108.40901660292849,202.25876542968138,0.3489548091972695,508873.82696941495,337658.3778881468,171215.44908126816,1488.0,160634.27019771188,298951.2933632359,107.95313857373111,200.90812726023918,0.3495198346812499
25,49,50,98.0,499.39,504.23,False,50,1579.0,177315.53592113778,316477.7623950504,112.29609621351348,200.42923520902494,0.35908858327112786,493793.29831618816,323475.29281210154,170318.0055040866,1429.0,159655.57041438296,284555.03077665344,111.7253816755654,199.12878290878479,0.3594141382180148
26,43,50,86.0,487.31,490.03,False,50,1511.0,177031.5940445289,304655.3799221292,117.16187560855651,201.62500325753092,0.36752414661888383,481686.9739666581,312183.01900243387,169503.95496422425,1361.0,158688.14313039184,272503.35634918883,116.59672529786322,200.2228922477508,0.36802242929630447
27,40,50,80.0,475.17,478.5,False,50,1460.0,176957.9102853313,292614.25864789635,121.20404814063788,200.42072510129887,0.3768492299859748,469572.16893322766,300696.630731225,168875.53820200264,1310.0,157899.51903233305,260748.74170403928,120.53398399414736,199.04484099544982,0.37716511410939274
28,44,50,88.0,465.07,467.52,False,50,1407.0,176860.873287078,282550.1648131758,125.70069174632408,200.81745900012496,0.38497306033052386,459411.0381002538,291204.4234345667,168206.61466568708,1257.0,157095.66216357052,250700.55835600942,124.97666043243478,199.44356273349993,0.38523079484015804
29,42,50,84.0,455.03,458.66,False,50,1360.0,176624.20778162777,272800.16868934035,129.87074101590278,200.5883593303973,0.3930009519477788,449424.3764709681,282010.49555744976,167413.88091351837,1210.0,156180.49507867545,241018.84010154754,129.07478932121938,199.18912405086573,0.39320432147201506
30,40,50,80.0,446.14,449.55,False,50,1317.0,176420.9052878432,264082.0926572196,133.95664790269035,200.51791393866333,0.40049876189456735,440502.9979450628,273779.0196919814,166723.97825308144,1167.0,155290.47099826857,232315.11894380674,133.0680985417897,199.07036756110261,0.4006404319955116
31,42,50,84.0,437.21,440.36,False,50,1273.0,176145.03103634343,255388.8626289554,138.37001652501448,200.6196878467835,0.40818353696445114,431533.8936652988,265667.99817606807,165865.89548923075,1123.0,154342.9304030724,223635.10955218226,137.43805022535386,199.1407921212665,0.4083383532581502
32,46,50,92.0,429.67,432.09,False,50,1238.0,176066.10888103023,247953.2416285947,142.21818164865124,200.2853324948261,0.4152313064708429,424019.3505096249,258632.98734696582,165386.3631626591,1088.0,153615.81533262506,216062.06075614318,141.1910067395451,198.5864529008669,0.41553965024333217
33,44,50,88.0,421.57,424.09,False,50,1195.0,176315.67821465433,239627.52510467544,147.5445005980371,200.52512561060706,0.42389363934212926,415943.20331932977,251216.12977376208,164727.0735455677,1045.0,153169.5312135853,207914.41152477637,146.57371407998593,198.961159353853,0.4241936931672705
34,48,50,96.0,414.07,417.03,False,50,1163.0,176420.3025721945,231944.90482471883,151.6941552641397,199.43671953974103,0.43201599787790235,408365.2073969133,244233.4126145579,164131.79478235543,1013.0,152513.39528663084,200396.4953138493,150.55616513981326,197.82477326145045,0.43215959469746557
35,41,50,82.0,409.13,410.67,False,50,1133.0,176830.5756598711,226557.5367147103,156.07288231233107,199.9625213722068,0.4383633781842037,403388.1123745814,239674.4201257825,163713.6922487989,983.0,152211.10390266404,194818.88862606138,154.84344242386982,198.18808608958432,0.43861080361826166
36,39,50,78.0,402.87,403.81,False,50,1100.0,176545.1281685382,220594.1154868342,160.49557106230748,200.5401049880311,0.4445421372704715,397139.2436553724,234775.44590923935,162363.79774613306,950.0,151276.76458237693,188867.8753254935,159.23869956039675,198.80828981630896,0.4447424619813219
37,41,50,82.0,397.13,396.67,False,50,1071.0,176698.8358097151,214675.21873349324,164.9849073853549,200.4437149705819,0.45148326456118415,391374.05454320833,230160.3553518653,161213.69919134304,921.0,150685.7508085668,183021.39736060053,163.61102150767297,198.72030115157494,0.4515508631903165
38,46,50,92.0,391.43,388.93,False,50,1044.0,176092.26511837915,209616.12812802196,168.6707520290988,200.78173192339267,0.4565424766525268,385708.3932464011,226173.4228390269,159534.9704073742,894.0,149520.46574279666,177857.13883303106,167.24884311274795,198.94534545081774,0.4567217294430537
39,46,50,92.0,385.81,384.71,False,50,1018.0,175949.80219751596,204149.94408935308,172.8387054985422,200.5402201270659,0.46290428740439776,380099.74628686905,222568.93382407725,157530.8124627918,868.0,148729.34991307557,172492.49159079045,171.34717731921148,198.72406865298439,0.4630113233171447
40,46,50,92.0,379.19,382.72,False,50,991.0,175716.38671774417,197827.34311837703,177.31219648611923,199.62395874710094,0.4704037912638312,373543.7298361212,218085.26653889567,155458.46329722553,841.0,147839.3204198219,166368.42898791656,175.78991726494874,197.8221509963336,0.4705145582770925
41,45,50,90.0,373.17,376.19,False,50,972.0,175629.93998499587,191933.4253645502,180.68923866769123,197.46237177422861,0.47782221119336665,367563.3653495461,213987.16711206362,153576.19823748246,822.0,147061.6281926632,160852.5864467956,178.90709025871433,195.68441173576107,0.477605843448505
42,45,50,90.0,369.84,371.74,False,50,944.0,175619.03423955664,188591.0745258443,186.0371125419032,199.77868064178423,0.48219154277422277,364210.10876540095,212027.1581443958,152182.95062100515,794.0,146371.8312876299,157155.84952989593,184.3473945688034,197.9292815237984,0.48223552755844024
43,47,50,94.0,365.31,366.68,False,50,930.0,175595.76875995845,184075.70126652718,188.81265458060048,197.93086157691093,0.4882115580282956,359671.4700264856,209014.5580023527,150656.9120241329,780.0,145669.76467939094,152803.20183979347,186.7561085633217,195.90154082024804,0.4880501118014234
44,48,50,96.0,360.99,362.48,False,50,905.0,175564.77296398953,179801.53702339157,193.9942242696017,198.67573151755974,0.49403887771528837,355366.3099873811,206252.62576621026,149113.68422117084,755.0,144977.05534333363,148597.0805613324,192.02258985872004,196.81732524679788,0.4938345637860017
45,42,50,84.0,357.28,358.6,False,50,890.0,175886.59862522036,175758.73870542273,197.62539171373075,197.48172888249744,0.5001818023818647,351645.3373306431,203850.8654665202,147794.4718641229,740.0,144539.51233578846,144599.22066656873,195.32366531863306,195.4043522521199,0.49989674795527866
46,42,50,84.0,353.10,354.97,False,50,863.0,175428.6943282932,172057.19843599945,203.27774545572794,199.37102947392754,0.5048512701702392,347485.89276429266,201466.72732802108,146019.16543627158,713.0,143498.59754135832,140791.099938564,201.2603051070944,197.46297326586816,0.504761863737578
47,44,50,88.0,349.31,350.69,False,50,850.0,175431.72992346808,168254.58627473563,206.39027049819774,197.94657208792427,0.5104414160681806,343686.3161982037,199212.54083514214,144473.77536306158,700.0,142855.5851331912,137080.62206860632,204.0794073331303,195.82946009800904,0.510314784075825
48,46,50,92.0,345.95,347.18,False,50,832.0,175271.12058689818,164995.76393235475,210.66240455156031,198.31221626484947,0.5150989666083139,340266.8845192529,197640.38150943816,142626.50300981477,682.0,142036.36404732242,133782.13597554713,208.2644634124962,196.16148970021575,0.5149631516216097
49,49,50,98.0,342.81,343.69,False,50,814.0,175444.76943369955,161779.1108326055,215.53411478341468,198.74583640369227,0.5202619971490472,337223.88026630506,196240.4838516377,140983.39641466737,664.0,141477.11930936202,130614.685296081,213.06795076711148,196.70886339771235,0.5199609724170698
50,43,50,86.0,339.50,340.6,False,50,805.0,175396.96759125218,158446.82435737923,217.88443179037537,196.8283532389804,0.525386338824716,333843.7919486314,194676.82850267738,139166.96344595402,655.0,140715.09826136753,127353.38469268754,214.8322110860573,194.4326483857825,0.524922201635634
51,46,50,92.0,336.49,337.63,False,50,779.0,175426.14084901288,155456.79191546515,225.19401906163398,199.5594247952056,0.5301758521763358,330882.932764478,193438.06561874226,137444.86714573577,629.0,140070.18099259585,124243.25887812302,222.68709219808562,197.52505386029097,0.5299396847209379
52,47,50,94.0,333.64,334.39,False,50,768.0,175293.12076838687,152759.72734764218,228.24625100050375,198.9058949839091,0.5343441514837478,328052.84811602905,192219.5537937805,135833.29432224855,618.0,139257.26847723126,121497.20443598926,225.33538588548748,196.5974181812124,0.5340551474396981
53,43,50,86.0,331.05,331.67,False,50,756.0,175520.22151183337,149929.88687055185,232.16960517438275,198.31995617797864,0.5393152959273457,325450.1083823852,191130.569962319,134319.53842006624,606.0,138743.38892428204,118735.96190288663,228.94948667373274,195.93393053281622,0.5388524884755209
54,40,50,80.0,327.86,328.93,False,50,743.0,175279.98792938888,146960.9270459041,235.9084628928518,197.7939798733568,0.5439408212418572,322240.914975293,189804.56717405468,132436.3478012383,593.0,137820.92330884188,115852.25292295218,232.4130241295816,195.3663624333089,0.5433011300450126
55,43,50,86.0,325.89,327.27,False,50,730.0,175361.5460107103,144925.19671609625,240.2212959050826,198.5276667343784,0.5475142196574994,320286.74272680655,189636.113375891,130650.62935091555,580.0,137199.95979592204,113603.51396957412,236.55165482055526,195.8681275337485,0.5470417045507308
56,45,50,90.0,322.72,323.4,False,50,716.0,175653.42673286796,141445.066657383,245.32601499003906,197.54897577846788,0.5539396446033944,317098.49339025095,188659.37176905572,128439.12162119523,566.0,136775.0649433583,110420.136988163,241.65205820381325,195.08858125117138,0.5533079278021245
57,46,50,92.0,319.98,321.27,False,50,701.0,175281.18337783962,139138.95682338625,250.04448413386538,198.48638633863945,0.5574744139025598,314420.1402012259,187719.68696033582,126700.45324089006,551.0,135662.20400342718,108119.49229147285,246.21089655794407,196.22412394096708,0.5564905243719264
58,45,50,90.0,317.42,318.51,False,50,693.0,175312.11896799505,136494.81455655769,252.9756406464575,196.9622143673271,0.5622457364444393,311806.93352455273,187389.181970153,124417.75155439973,543.0,134952.99725420773,105581.27126144245,248.53222330424995,194.4406468903176,0.5610551797338871
59,47,50,94.0,315.36,316.34,False,50,683.0,175196.17100758478,134548.92702912912,256.509767214619,196.99696490355655,0.5656140230081005,309745.0980367139,187117.48941102996,122627.60862568393,533.0,134139.7436778061,103449.09785781056,251.66931271633416,194.088363710714,0.5645877256306114
60,44,50,88.0,313.04,314.47,False,50,669.0,175148.29439716414,132261.2779759802,261.80612017513323,197.6999670791931,0.5697554993003359,307409.5723731443,186670.82368629053,120738.7486868538,519.0,133396.00689988583,101229.96439225972,257.0250614641346,195.0481009484773,0.5685474892879043
61,44,50,88.0,310.91,311.93,False,50,661.0,175111.9641661644,130162.73908223957,264.9197642453319,196.91791086571794,0.5736209463241182,305274.70324840397,186389.6529567428,118885.05029166117,511.0,132667.652963195,99193.58137762174,259.62358701212327,194.11659760787035,0.57218557185883
62,43,50,86.0,308.95,310.2,False,50,652.0,175106.01096507162,128200.16525080428,268.5675014801712,196.62602032331944,0.5773242508600968,303306.1762158759,186344.30726338178,116961.86895249411,502.0,131929.37433440238,97184.23933209851,262.80751859442705,193.59410225517632,0.5758251210966406
63,42,50,84.0,306.70,307.82,False,50,642.0,175035.17552884296,126018.73335568234,272.6404603253006,196.29086192473886,0.5814080812881267,301053.9088845253,186036.9139336981,115016.99495082721,492.0,131199.76399187,94992.06373188645,266.6661869753455,193.07330026806187,0.5800375960182835
64,45,50,90.0,304.72,305.72,False,50,629.0,174929.50421385467,124179.93228184059,278.1073198948405,197.4243756468054,0.5848344547844837,299109.43649569526,185729.99845724553,113379.43803844973,479.0,130375.00100722536,93021.10069943592,272.1816304952513,194.19854008232969,0.5836046377318554
