frame_skip,success_count,total_videos,accuracy,runtime,use_prefetch,prefetch_videos,prefetch_total_batches,prefetch_avg_wait_ms,prefetch_avg_infer_ms,prefetch_avg_prepare_ms,prefetch_wait_ratio,prefetch_steady_batches,prefetch_steady_avg_wait_ms,prefetch_steady_avg_infer_ms,prefetch_steady_avg_prepare_ms,prefetch_steady_wait_ratio
1,50,50,100.0,7793.09,True,50,38776.0,0.020652747390131183,200.85897834330794,13.28052703232766,0.00010281155574606949,38426.0,0.007043069214278702,200.93496303689773,13.289016498040338,3.505025828476823e-05
2,50,50,100.0,3909.14,True,50,19399.0,0.04073630061969019,201.30494354704473,15.619312250142988,0.0002023202119385464,19049.0,0.0074094378857939526,201.33765250795156,15.638467364789191,3.6799700048204414e-05
3,50,50,100.0,2603.33,True,50,12940.0,0.06933012603705827,200.87780314073012,18.533886633230406,0.0003450167459966652,12590.0,0.007048785217502839,200.73573082201685,18.572424404726995,3.51135180617416e-05
4,50,50,100.0,1960.48,True,50,9709.0,0.10839861926339427,201.50819231902506,22.373786276352753,0.0005376473174103676,9359.0,0.00716979952831785,201.04865902017406,22.453424204047362,3.566073945932397e-05
5,50,50,100.0,1572.36,True,50,7775.0,0.16140075358547198,201.69485323981553,26.609774490225448,0.0007995826257171519,7425.0,0.007330486958576774,201.16738118657761,26.749817727428393,3.6438411655201435e-05
6,50,50,100.0,1312.15,True,50,6481.0,0.2251683135557609,201.79042764625382,31.137279873359486,0.0011146085651751229,6131.0,0.007316710989751545,201.08853165750534,31.335820824067657,3.638419713341939e-05
7,50,50,100.0,1125.01,True,50,5558.0,0.30278090192202767,201.59204723774252,35.69807683552685,0.0014996961770242722,5208.0,0.007421465768706277,200.73448631101675,35.96085856302774,3.697018649916664e-05
8,50,50,100.0,983.14,True,50,4868.0,0.3921527243521594,200.97784011226054,40.10785141936446,0.0019474238382197458,4518.0,0.0075072922256139065,200.2188700947815,40.43972288906053,3.7494022134273774e-05
9,50,50,100.0,876.66,True,50,4331.0,0.49210769373556257,201.26515541613168,44.783276419968786,0.0024391076987775352,3981.0,0.007544882095839264,200.44910745670435,45.19850300522968,3.763847199786282e-05
10,50,50,100.0,785.88,True,50,3900.0,0.599902893583744,200.18145797571216,49.39006276189899,0.0029878415555429287,3550.0,0.006795523976775962,199.41765488597605,49.89661750318089,3.4075681105333525e-05
11,50,50,100.0,719.52,True,50,3544.0,0.7215553447110137,201.51815220225353,53.73538453967582,0.0035678223305551974,3194.0,0.007532329374951128,200.5309628733272,54.22761534811881,3.756051608613856e-05
12,50,50,100.0,660.27,True,50,3251.0,0.854424130050073,201.38879134487308,58.07496991620999,0.004224735687887709,2901.0,0.007619277594347158,200.45985895591366,58.57231621079915,3.8007549461324974e-05
13,50,50,100.0,611.26,True,50,3001.0,1.0012548738983185,201.7555816658586,62.81868510987263,0.004938205246174222,2651.0,0.007549716038148118,200.71435703181774,63.28876273652454,3.7612815464292864e-05
14,50,50,100.0,569.04,True,50,2791.0,1.1581597737607585,201.71708236233238,67.03851647679708,0.005708728978294146,2441.0,0.007713099675301107,200.99327002187664,67.55996215077471,3.837344253503837e-05
15,49,50,98.0,530.62,True,50,2610.0,1.3368215003332757,200.87431693570937,71.93738565070133,0.006611018120330183,2260.0,0.007117383874359384,200.42904131629595,72.59716838495228,3.5509480527443975e-05
16,49,50,98.0,497.89,True,50,2450.0,1.5085953580481666,200.55296719720474,75.9360812834407,0.007466018469671313,2100.0,0.007093260951694988,200.28362691735052,76.68804952985651,3.5414825736211995e-05
17,50,50,100.0,471.38,True,50,2301.0,1.7249280819972925,201.91526555009784,80.57265533785984,0.008470469661375475,1951.0,0.00776209296140226,201.10362090279222,81.04609705169787,3.859599017110898e-05
18,49,50,98.0,445.05,True,50,2177.0,1.9452445460145469,201.20920216323287,84.95730569660596,0.00957520043259775,1827.0,0.007565732745603584,200.9677976065534,85.55820660429104,3.76450755948162e-05
19,49,50,98.0,424.09,True,50,2061.0,2.185494791940469,202.23437282308748,89.61873533080383,0.010691205397198865,1711.0,0.007650118227558203,201.56831642224174,90.20396121295876,3.795153935686231e-05
20,50,50,100.0,403.69,True,50,1961.0,2.4586655631707006,201.99378583321896,93.93470197339475,0.012025610582696643,1611.0,0.06294499447975078,201.7024606651286,94.50939720326573,0.0003119711938425311
21,50,50,100.0,384.71,True,50,1870.0,2.790157389353941,201.46611296636536,98.38552714579485,0.013660081937728418,1520.0,0.1309566732839142,201.56679896325315,99.05746689397155,0.0006492718417744818
22,50,50,100.0,368.38,True,50,1790.0,3.0937599520297856,201.17629123331366,102.55509517805953,0.015145440724556676,1441.0,0.20279020386425511,201.85287553289652,103.66879510812818,0.001003635325566424
23,49,50,98.0,353.23,True,50,1708.0,3.4385152001357016,201.75923813059185,107.22974927324924,0.016757080154740603,1360.0,0.268123866579331,201.9362423075911,108.22829860468012,0.0013260043373562928
24,50,50,100.0,340.84,True,50,1638.0,3.955398498885379,202.4418918591593,111.66350799584272,0.01916400400423764,1291.0,0.545334130796834,202.2115701133577,112.69838865925749,0.0026895958627389323
25,49,50,98.0,327.49,True,50,1579.0,4.502158042543613,201.15738438189908,115.7493597354228,0.02189131605307178,1232.0,0.8417840879985022,202.05197915889914,117.28050637734728,0.00414889089998369
26,43,50,86.0,316.37,True,50,1511.0,5.0604296712578325,202.46683232995363,120.97606907705305,0.024384409173327196,1165.0,1.0926218083839816,202.22986754461675,122.09264200236728,0.005373836469644087
27,40,50,80.0,305.83,True,50,1460.0,5.655993326337472,201.91407650517783,125.08725664890946,0.027248597694881662,1113.0,1.3829221068701547,202.40455376978392,126.56420117841577,0.0067860995918472755
28,44,50,88.0,295.66,True,50,1407.0,6.215456593847902,201.93246248699117,129.5758430464107,0.029860767387417237,1061.0,1.6473473535111556,202.43264715960575,131.2445205808367,0.008072066825762617
29,42,50,84.0,287.42,True,50,1360.0,6.88948863055831,202.40408839411376,134.08612216521493,0.032917821600163745,1015.0,1.969901274137309,202.99422849942312,136.04059933450787,0.00961095620152463
30,40,50,80.0,279.19,True,50,1317.0,7.488993684928822,202.3631702764165,138.56137306666344,0.035686997663308656,972.0,2.2278399218195752,203.43477787342644,140.8937049453787,0.010832498125826451
31,42,50,84.0,271.81,True,50,1273.0,8.21778867854638,203.07702843783144,143.15973123709634,0.038892523681828516,930.0,2.5519575327835096,204.04827996427494,145.6098566672975,0.01235215198056019
32,46,50,92.0,264.48,True,50,1238.0,8.908530809692376,202.4633389200281,147.03838960252557,0.04214624595545098,896.0,3.0822898786157436,204.13813108617822,150.23395344022512,0.014874450424649015
33,44,50,88.0,257.95,True,50,1195.0,9.888050454243956,203.64522951962934,152.43821511956938,0.04630683542843421,855.0,3.6504688661828726,204.82198472641278,155.45147787561717,0.017510557405904233
34,48,50,96.0,251.77,True,50,1163.0,10.744303185813072,203.34291963590596,156.62226819906542,0.05018656902640257,828.0,3.9304774305175827,204.96218149428782,159.78039880193194,0.018815775770906363
35,41,50,82.0,246.96,True,50,1133.0,11.7689978992213,203.73938990089408,160.79958406090407,0.054610393680532894,800.0,4.9067594623193145,205.42242499650456,164.9071959714638,0.023328952065992923
36,39,50,78.0,241.52,True,50,1100.0,13.173679304732518,203.8437070028687,165.26635023130274,0.060703335934845525,773.0,6.165170475218884,205.77458014475593,169.55511158881626,0.029089259835326963
37,41,50,82.0,237.13,True,50,1071.0,14.716636620802817,204.08114764828977,170.0066134005778,0.06726136039249475,745.0,7.505938182616194,206.24485196445713,174.6157005022986,0.03511537046226408
38,46,50,92.0,233.32,True,50,1044.0,16.856839313435856,203.98237827765644,174.44032092999768,0.07633082338051046,723.0,9.491021495008452,206.5584707778478,179.5461075489936,0.04392984864330002
39,46,50,92.0,230.15,True,50,1018.0,18.894711170393116,204.45471981079234,178.75212658158264,0.08459708666992166,700.0,11.746805690095893,207.3607811531318,184.6362966491974,0.05361204447247507
40,46,50,92.0,226.95,True,50,991.0,20.776674264194266,205.44147578854674,183.79598189667846,0.09184353359511715,675.0,13.677480293920746,207.7883890705804,189.7431665548572,0.06175886303911453
41,45,50,90.0,223.56,True,50,972.0,22.937278457775466,204.21508818849492,187.06696308476643,0.1009775015617341,658.0,15.520486711753719,207.81120327570247,193.84628463335517,0.0694952279841045
42,45,50,90.0,221.44,True,50,944.0,25.18958400271959,206.45640841172218,192.76848505300438,0.10874172153884003,634.0,17.80586640720699,208.7869390835016,199.20304636118422,0.07858089919777703
43,47,50,94.0,218.34,True,50,930.0,27.127097016801276,204.68174041879755,195.53887239427016,0.11702356699121796,621.0,19.675447575556003,209.24001946841366,203.65312659435105,0.08595071285321512
44,48,50,96.0,216.07,True,50,905.0,29.563434685462088,206.16264531790222,201.18845348035433,0.12541435671878146,605.0,22.138189408958944,209.86266503387617,208.9501291313324,0.09542287877398152
45,42,50,84.0,212.97,True,50,890.0,32.00598506863867,204.16776566985953,204.0061711260442,0.13551880752436765,591.0,24.252862649829506,209.06309136418017,212.594172811725,0.1039485823090051
46,42,50,84.0,211.29,True,50,863.0,34.46772228548711,207.17658085947122,210.14000978946754,0.1426382572934498,573.0,26.315876230740525,209.99600704561067,217.33649315744847,0.11136078247899894
47,44,50,88.0,212.11,True,50,850.0,38.20505597190384,208.0376011593377,216.32849131820396,0.1551520618604325,562.0,30.972709255359298,211.80242686648438,225.75371775998207,0.12757776496442588
48,46,50,92.0,209.32,True,50,832.0,40.060826679109596,208.20079704851827,218.76445909695647,0.16136536157944747,546.0,32.399722231695286,212.25405338087253,228.2540498543599,0.13243091037762297
49,49,50,98.0,208.00,True,50,814.0,43.47227397203189,208.6638459216126,223.91419969350375,0.17241589182211997,536.0,34.742393793274104,212.11616671296642,231.84086723816094,0.14073805551659435
50,43,50,86.0,206.00,True,50,805.0,46.24797229926964,206.21870100289954,226.03617991430696,0.1831844642873585,524.0,37.611291182177666,212.01697060170065,236.0797502342185,0.15066920273130074
51,46,50,92.0,205.60,True,50,779.0,50.4213967288824,209.99665794456533,234.48585774163703,0.19361713147004445,514.0,41.61178281961973,212.86530544209486,242.38408619269788,0.1635187792498795
52,47,50,94.0,203.70,True,50,768.0,53.17681689060313,208.51100474283157,236.92702587504755,0.2032070753567261,507.0,44.15857453905854,212.29265505334095,245.60655464640502,0.17219092538274552
53,43,50,86.0,202.14,True,50,756.0,56.067689380450815,207.7095048242155,240.45108316747087,0.21255700118239668,492.0,46.693969075946605,212.36505966663844,249.40567682080757,0.18024451532374064
54,40,50,80.0,201.34,True,50,743.0,59.686580364508394,207.61979441879214,244.72590286690806,0.22328902710567491,486.0,50.04434841263411,212.61311239570594,254.0844675822283,0.19053084674853704
55,43,50,86.0,201.22,True,50,730.0,62.991594740712685,208.92265837907485,248.94483122872572,0.23165977516067324,478.0,53.44161750246073,212.36551166940714,258.2959582625838,0.20105411645263122
56,45,50,90.0,200.04,True,50,716.0,66.95252066340255,208.6107089904829,253.54039864861744,0.24296609074983017,468.0,55.93321741355631,213.33195202940135,261.8099926268427,0.2077254088572529
57,46,50,92.0,199.64,True,50,701.0,71.28535865137776,209.63494768618645,259.17934888067754,0.2537565175716357,451.0,59.82417108371292,213.76591074195775,266.5552666045296,0.21866352275822593
58,45,50,90.0,199.28,True,50,693.0,75.74917260734807,207.89241683864253,262.03962794100545,0.2670594702113366,446.0,64.27432313632437,213.23177222300305,270.84676017817696,0.2316140950096918
59,47,50,94.0,199.82,True,50,683.0,80.06270229134648,208.4835775531992,266.6872285823249,0.2774691891175304,442.0,69.33783249807338,213.17264688521522,276.3601504529645,0.2454345504260058
60,44,50,88.0,198.51,True,50,669.0,84.38050619887552,208.2515202987499,271.1020244378736,0.28835020967727126,429.0,72.63253055651843,212.5765714677168,279.34078693971696,0.254664139541893
61,44,50,88.0,198.05,True,50,661.0,87.85613085764619,207.61511100275771,274.28032129611285,0.2973424090428184,417.0,77.51786319329013,213.0169347732616,284.96851360344954,0.26681094222046975
62,43,50,86.0,198.10,True,50,652.0,92.73595533596546,206.877376105025,278.1263685526692,0.3095187883995394,405.0,81.90415617837398,213.13530662683425,289.1497130655212,0.2776040716710777
63,42,50,84.0,197.87,True,50,642.0,97.08757300910503,206.85292432531483,282.34026299186075,0.31942953920444817,400.0,85.51167448167689,213.07769950362854,292.63841803302057,0.2863855245092697
64,45,50,90.0,197.16,True,50,629.0,100.87586706134066,208.2479124250622,287.37282969830454,0.32632839579323686,392.0,88.59783609526004,212.92159144234444,295.75345961243977,0.29383790231629325
