frame_skip,runtime_prefetch,runtime_no_prefetch
1,7777.04,8228.42
2,3906.35,4298.87
3,2605.28,3016.64
4,1961.11,2392.2
5,1569.19,2011.13
6,1313.65,1724.15
7,1135.63,1539.22
8,997.17,1408.06
9,887.53,1301.55
10,798.46,1216.06
11,727.61,1145.16
12,667.24,1086.56
13,616.42,1036.31
14,572.76,992.18
15,536.8,954.41
16,505.88,920.65
17,479.03,894.26
18,465.9,869.31
19,464.36,845.85
20,463.73,827.47
21,464.49,808.03
22,463.0,779.75
23,458.94,764.6
24,452.3,750.36
25,450.14,736.34
26,450.11,725.87
27,448.18,714.07
28,446.93,703.36
29,446.84,694.22
30,444.11,686.09
31,443.79,677.06
32,442.36,669.04
33,441.17,661.25
34,440.92,655.44
35,440.45,648.42
36,440.61,641.47
37,439.49,636.26
38,439.04,630.36
39,439.26,625.21
40,439.32,620.21
41,438.23,614.46
42,440.1,611.55
43,438.91,606.24
44,438.6,602.22
45,438.75,598.64
46,438.87,594.0
47,437.87,590.29
48,438.33,586.37
49,437.98,584.16
50,437.73,579.58
51,442.57,577.91
52,439.22,574.04
53,441.83,573.35
54,438.33,568.74
55,438.65,565.76
56,438.11,564.14
57,437.88,561.94
58,437.24,557.76
59,439.47,556.86
60,438.25,554.04
61,438.89,553.19
62,440.59,550.8
63,439.04,548.08
64,439.38,546.63
