frame_skip,runtime_prefetch,runtime_no_prefetch
1,7745.0,8172.51
2,3878.56,4156.65
3,2592.65,2826.87
4,1951.52,2152.5
5,1563.12,1753.82
6,1305.02,1493.46
7,1121.44,1309.25
8,978.91,1171.19
9,873.27,1065.45
10,786.39,979.28
11,716.69,908.65
12,658.06,847.92
13,608.69,797.85
14,566.58,753.01
15,530.06,716.52
16,497.54,682.61
17,469.51,649.77
18,444.43,622.49
19,422.27,599.69
20,402.7,580.21
21,384.12,561.29
22,367.54,545.25
23,351.68,530.78
24,339.08,516.71
25,326.01,504.23
26,315.6,490.03
27,305.17,478.5
28,294.98,467.52
29,286.54,458.66
30,278.61,449.55
31,271.06,440.36
32,263.89,432.09
33,256.99,424.09
34,251.01,417.03
35,245.82,410.67
36,241.09,403.81
37,236.48,396.67
38,232.69,388.93
39,229.45,384.71
40,226.2,382.72
41,222.58,376.19
42,220.23,371.74
43,217.3,366.68
44,214.67,362.48
45,212.48,358.6
46,210.54,354.97
47,208.39,350.69
48,206.78,347.18
49,205.65,343.69
50,204.18,340.6
51,202.84,337.63
52,201.68,334.39
53,201.02,331.67
54,200.75,328.93
55,199.57,327.27
56,200.44,323.4
57,198.84,321.27
58,198.72,318.51
59,199.04,316.34
60,198.04,314.47
61,197.24,311.93
62,197.35,310.2
63,196.98,307.82
64,196.98,305.72
